iter	Passed	Remaining
640	16408	9189
641	16428	9161
642	16453	9135
643	16477	9108
644	16497	9080
645	16515	9050
646	16539	9024
647	16562	8997
648	16586	8970
649	16611	8944
650	16633	8917
651	16655	8889
652	16675	8861
653	16697	8833
654	16721	8807
655	16739	8778
656	16760	8750
657	16782	8723
658	16804	8695
659	16825	8667
660	16845	8639
661	16867	8612
662	16894	8587
663	16917	8560
664	16937	8532
665	16957	8504
666	16978	8476
667	17000	8449
668	17022	8422
669	17042	8394
670	17064	8366
671	17086	8339
672	17105	8311
673	17131	8286
674	17153	8259
675	17174	8231
676	17197	8204
677	17218	8177
678	17237	8148
679	17261	8123
680	17283	8096
681	17306	8069
682	17329	8042
683	17350	8015
684	17371	7988
685	17394	7961
686	17419	7936
687	17439	7908
688	17461	7881
689	17481	7854
690	17502	7826
691	17526	7800
692	17548	7774
693	17573	7748
694	17593	7721
695	17616	7694
696	17644	7670
697	17670	7645
698	17696	7620
699	17718	7593
700	17742	7567
701	17763	7540
702	17783	7513
703	17805	7486
704	17827	7459
705	17852	7434
706	17872	7406
707	17897	7381
708	17917	7353
709	17941	7328
710	17961	7300
711	17980	7273
712	18003	7246
713	18023	7219
714	18044	7192
715	18068	7166
716	18089	7140
717	18111	7113
718	18132	7086
719	18162	7063
720	18185	7037
721	18210	7011
722	18232	6985
723	18256	6959
724	18277	6932
725	18295	6905
726	18315	6877
727	18337	6851
728	18356	6823
729	18379	6797
730	18402	6771
731	18423	6745
732	18451	6721
733	18471	6694
734	18493	6667
735	18511	6640
736	18534	6614
737	18556	6587
738	18578	6561
739	18602	6536
740	18624	6509
741	18650	6484
742	18668	6457
743	18693	6432
744	18717	6406
745	18738	6380
746	18760	6354
747	18782	6327
748	18801	6300
749	18821	6273
750	18840	6246
751	18866	6222
752	18890	6196
753	18915	6171
754	18934	6144
755	18953	6117
756	18972	6090
757	18995	6064
758	19016	6038
759	19039	6012
760	19065	5987
761	19089	5962
762	19121	5939
763	19148	5914
764	19172	5889
765	19198	5864
766	19220	5838
767	19242	5812
768	19263	5786
769	19284	5760
770	19304	5733
771	19325	5707
772	19348	5681
773	19372	5656
774	19394	5630
775	19422	5606
776	19447	5581
777	19466	5554
778	19495	5530
779	19529	5508
780	19562	5485
781	19597	5463
782	19621	5437
783	19646	5412
784	19674	5388
785	19698	5363
786	19719	5337
787	19743	5311
788	19771	5287
789	19791	5261
790	19814	5235
791	19833	5208
792	19859	5183
793	19880	5157
794	19906	5133
795	19927	5107
796	19948	5081
797	19972	5055
798	19993	5029
799	20014	5003
800	20039	4978
801	20060	4952
802	20083	4926
803	20103	4900
804	20126	4875
805	20146	4849
806	20174	4824
807	20195	4798
808	20214	4772
809	20236	4746
810	20254	4720
811	20274	4694
812	20295	4668
813	20316	4642
814	20337	4616
815	20356	4590
816	20378	4564
817	20400	4539
818	20427	4514
819	20451	4489
820	20470	4463
821	20491	4437
822	20512	4411
823	20533	4385
824	20552	4359
825	20575	4334
826	20600	4309
827	20621	4283
828	20640	4257
829	20660	4231
830	20686	4206
831	20709	4181
832	20730	4156
833	20750	4130
834	20771	4104
835	20791	4078
836	20815	4053
837	20837	4028
838	20856	4002
839	20879	3976
840	20898	3951
841	20919	3925
842	20945	3900
843	20966	3875
844	20989	3850
845	21010	3824
846	21033	3799
847	21057	3774
848	21078	3748
849	21101	3723
850	21122	3698
851	21145	3673
852	21167	3647
853	21194	3623
854	21216	3598
855	21244	3573
856	21265	3548
857	21287	3523
858	21310	3497
859	21331	3472
860	21350	3446
861	21370	3421
862	21391	3395
863	21413	3370
864	21437	3345
865	21459	3320
866	21479	3294
867	21499	3269
868	21525	3244
869	21549	3219
870	21574	3195
871	21600	3170
872	21627	3146
873	21662	3122
874	21691	3098
875	21715	3073
876	21740	3049
877	21761	3023
878	21780	2998
879	21804	2973
880	21826	2948
881	21847	2922
882	21874	2898
883	21893	2872
884	21914	2847
885	21933	2822
886	21956	2797
887	21976	2771
888	21999	2746
889	22015	2721
890	22039	2696
891	22059	2670
892	22087	2646
893	22106	2621
894	22127	2596
895	22147	2570
896	22171	2545
897	22197	2521
898	22216	2495
899	22240	2471
900	22261	2446
901	22280	2420
902	22301	2395
903	22321	2370
904	22337	2344
905	22357	2319
906	22376	2294
907	22400	2269
908	22427	2245
909	22446	2219
910	22467	2194
911	22485	2169
912	22509	2144
913	22529	2119
914	22553	2095
915	22571	2069
916	22591	2044
917	22615	2020
918	22633	1994
919	22655	1970
920	22676	1945
921	22702	1920
922	22720	1895
923	22739	1870
924	22758	1845
925	22777	1820
926	22800	1795
927	22823	1770
928	22841	1745
929	22865	1721
930	22885	1696
931	22905	1671
932	22931	1646
933	22952	1621
934	22972	1597
935	22994	1572
936	23014	1547
937	23037	1522
938	23061	1498
939	23083	1473
940	23105	1448
941	23128	1424
942	23152	1399
943	23171	1374
944	23197	1350
945	23216	1325
946	23239	1300
947	23258	1275
948	23278	1250
949	23298	1226
950	23319	1201
951	23342	1176
952	23365	1152
953	23386	1127
954	23409	1103
955	23430	1078
956	23458	1054
957	23479	1029
958	23502	1004
959	23523	980
960	23544	955
961	23568	930
962	23590	906
963	23613	881
964	23630	857
965	23650	832
966	23672	807
967	23693	783
968	23712	758
